+=====+========+========+========+
|  #  | Cipher | Plain  |  Key   | Proof: Cipher ⊕ Plain = Key
+=====+========+========+========+
|   1 | KHHLTK | EELIER | KHRSTT | [011 001 001 100 111 011] ⊕ [000 000 100 010 000 101] = [011 001 101 110 111 111]
|   2 | KHHLTK | EERIER | KHRSTT | [011 001 001 100 111 011] ⊕ [000 000 101 010 000 101] = [011 001 101 110 111 111]
|   3 | KHHLTK | EHLITE | KHRSTK | [011 001 001 100 111 011] ⊕ [000 001 100 010 111 000] = [011 001 101 110 111 011]
|   4 | KHHLTK | EISELE | KKTLTK | [011 001 001 100 111 011] ⊕ [000 010 110 000 100 000] = [011 011 111 100 111 011]
|   5 | KHHLTK | EISELL | KKTLTT | [011 001 001 100 111 011] ⊕ [000 010 110 000 100 100] = [011 011 111 100 111 111]
|   6 | KHHLTK | EISLER | KKTLTT | [011 001 001 100 111 011] ⊕ [000 010 110 100 000 101] = [011 011 111 100 111 111]
|   7 | KHHLTK | EITHER | KKTRTT | [011 001 001 100 111 011] ⊕ [000 010 111 001 000 101] = [011 011 111 101 111 111]
|   8 | KHHLTK | ELEELE | KRHLTK | [011 001 001 100 111 011] ⊕ [000 100 000 000 100 000] = [011 101 001 100 111 011]
|   9 | KHHLTK | ELISEE | KRKSTK | [011 001 001 100 111 011] ⊕ [000 100 010 110 000 000] = [011 101 011 110 111 011]
|  10 | KHHLTK | ELITES | KRKTTT | [011 001 001 100 111 011] ⊕ [000 100 010 111 000 110] = [011 101 011 111 111 111]
|  11 | KHHLTK | ELLETT | KRRLTT | [011 001 001 100 111 011] ⊕ [000 100 100 000 111 111] = [011 101 101 100 111 111]
|  12 | KHHLTK | ERRITE | KRRSTK | [011 001 001 100 111 011] ⊕ [000 101 101 010 111 000] = [011 101 101 110 111 011]
|  13 | KHHLTK | ESKERS | KTKLTT | [011 001 001 100 111 011] ⊕ [000 110 011 000 101 110] = [011 111 011 100 111 111]
